dataset,method,trial_id,auc_tune,lambda1_scale,lambda1_abs,lambda2_ratio,lambda2_abs,alpha
Urban,SSCTV_LOGDET,1,0.9595,0.75,0.005892556509887896,0.03,0.00017677669529663688,0.5
Urban,SSCTV_LOGDET,2,0.9685,0.75,0.005892556509887896,0.03,0.00017677669529663688,1.0
Urban,SSCTV_LOGDET,3,0.9715,0.75,0.005892556509887896,0.03,0.00017677669529663688,2.0
Urban,SSCTV_LOGDET,4,0.96,0.75,0.005892556509887896,0.1,0.0005892556509887897,0.5
Urban,SSCTV_LOGDET,5,0.9685,0.75,0.005892556509887896,0.1,0.0005892556509887897,1.0
Urban,SSCTV_LOGDET,6,0.9715,0.75,0.005892556509887896,0.1,0.0005892556509887897,2.0
Urban,SSCTV_LOGDET,7,0.96,0.75,0.005892556509887896,0.3,0.0017677669529663686,0.5
Urban,SSCTV_LOGDET,8,0.9685,0.75,0.005892556509887896,0.3,0.0017677669529663686,1.0
Urban,SSCTV_LOGDET,9,0.9715,0.75,0.005892556509887896,0.3,0.0017677669529663686,2.0
Urban,SSCTV_LOGDET,10,0.9425,1.0,0.007856742013183862,0.03,0.00023570226039551585,0.5
Urban,SSCTV_LOGDET,11,0.969,1.0,0.007856742013183862,0.03,0.00023570226039551585,1.0
Urban,SSCTV_LOGDET,12,0.9695,1.0,0.007856742013183862,0.03,0.00023570226039551585,2.0
Urban,SSCTV_LOGDET,13,0.9425,1.0,0.007856742013183862,0.1,0.0007856742013183862,0.5
Urban,SSCTV_LOGDET,14,0.969,1.0,0.007856742013183862,0.1,0.0007856742013183862,1.0
Urban,SSCTV_LOGDET,15,0.9695,1.0,0.007856742013183862,0.1,0.0007856742013183862,2.0
Urban,SSCTV_LOGDET,16,0.9425,1.0,0.007856742013183862,0.3,0.0023570226039551583,0.5
Urban,SSCTV_LOGDET,17,0.969,1.0,0.007856742013183862,0.3,0.0023570226039551583,1.0
Urban,SSCTV_LOGDET,18,0.9695,1.0,0.007856742013183862,0.3,0.0023570226039551583,2.0
Urban,SSCTV_LOGDET,19,0.9299999999999999,1.25,0.009820927516479828,0.03,0.00029462782549439484,0.5
Urban,SSCTV_LOGDET,20,0.9655,1.25,0.009820927516479828,0.03,0.00029462782549439484,1.0
Urban,SSCTV_LOGDET,21,0.968,1.25,0.009820927516479828,0.03,0.00029462782549439484,2.0
Urban,SSCTV_LOGDET,22,0.9299999999999999,1.25,0.009820927516479828,0.1,0.0009820927516479827,0.5
Urban,SSCTV_LOGDET,23,0.9655,1.25,0.009820927516479828,0.1,0.0009820927516479827,1.0
Urban,SSCTV_LOGDET,24,0.968,1.25,0.009820927516479828,0.1,0.0009820927516479827,2.0
Urban,SSCTV_LOGDET,25,0.9299999999999999,1.25,0.009820927516479828,0.3,0.0029462782549439484,0.5
Urban,SSCTV_LOGDET,26,0.9655,1.25,0.009820927516479828,0.3,0.0029462782549439484,1.0
Urban,SSCTV_LOGDET,27,0.968,1.25,0.009820927516479828,0.3,0.0029462782549439484,2.0
